source,summary,model,HHEMv1,HHEM-2.1,HHEM-2.1-English,trueteacher,true_nli,gpt-3.5-turbo,gpt-4-turbo,gpt-4o,minicheck-roberta-large,minicheck-deberta-v3-large,minicheck-flan-t5-large
"An Oregon couple announced they are expecting a child in a rap video they made set to the theme  from '90s television sitcom 'The Fresh Prince of Bel-Air.' The clip, which features Jesse and Melissa Meek rapping as they drive in a car, has been viewed over 1.7 million times on YouTube. 'In Happy Valley, Oregon, livin' it wed, bought our first house and started to build our homestead,' Melissa says in the clip. Parents: Jesse and Melissa Meek announced they are expecting a child in a video set to the theme song from '90s television sitcom 'The Fresh Prince of Bel-Air' The original song for the popular NBC sitcom, sung by star Will Smith, details how his character grew up in West Philadelphia, where he got into a neighborhood fight - and at his mother's insistence, moved to his aunt and uncle's home in their wealthy Los Angeles neighborhood. In the Meeks' parody video, Melissa raps, 'When our family and friends, who were up to no good, started asking questions about parenthood. 'We told one little lie, said ""It's not time yet."" Parents said ""We're ready for grandkids, get a move on it!""' Jesse raps that the couple thought it would take longer than the two months the pair spent trying to conceive. Melissa says in the video 'I woke up in the morning about 7 or 8 and I thought to myself, ""Oh man, I'm late!"" Looked at the test and it was finally there. The little plus sign. We're now three. Not a pair.' At the end of the video, the Meeks smile and share a sonogram of their unborn child. It took five takes to film the clip, the couple told KPTV. After finding out the gender of the child, another video is a possibility for the Meeks, the couple told the Fox affiliate. Original: Will Smith is seen here rapping the theme for 'The Fresh Prince of Bel-Air' during the show's title sequence . Big reveal: At the end of the clip, the Meeks share a sonogram of their unborn child . According to KPTV, the video was made so loved ones living far away could know about the baby. Melissa told the Fox affliate of the video's success 'It was completely unexpected. Like, that was the last thing we thought would happen, that it would blow up to what it had, or what it has.' Jesse told the Oregonian 'It has been a lot of fun, but definitely way more than we ever expected.' He is the great-great-grandson of Oregon pioneer Joseph Lafayette Meek, the newspaper reported. The Oregonian reported that Melissa earlier made a video which captured Jesse's reaction when he found out about the pregnancy. Jesse learned the news after reading a tag Melissa placed on their dog, which indicated a baby was on the way. A Phoenixville, Pennsylvania, couple made a pregnancy announcement video using 'The Fresh Prince of Bel-Air' theme song last year and recreated the show's title sequence, People reported.","An Oregon couple, Jesse and Melissa Meek, announced their pregnancy through a rap video set to the theme of the '90s sitcom 'The Fresh Prince of Bel-Air.' The video, featuring the couple rapping in a car, has garnered over 1.7 million views on YouTube. In the video, they humorously recount their journey to parenthood and reveal a sonogram of their unborn child. The video was made to inform distant loved ones about the baby, and its viral success was unexpected for the couple. Jesse is noted to be the great-great-grandson of Oregon pioneer Joseph Lafayette Meek. The couple hinted at possibly making another video after discovering the baby's gender.",openai/gpt-4o,0.98468,0.94643,0.97727,1,1.0,1,1,1,0,0,1
"Sick of awkward father-daughter portraits? Well one photographer has found an effective - if a little odd - way of making them more interesting. Japanese photographer Yûki Aoyama's latest series of images capture po-faced teenagers pictured next to their fathers leaping into the air. In each picture the daughter looks directly into the camera smiling while her father pulls a dramatic pose. A series of images by photographer Yûki Aoyama sees fathers leaping into the air next to their daughters . The images are from the 37-year-old's latest book which roughly translates into Daughter and Salary Man. According to the  photographer's website the images allow the father who usually has to act serious to express his fun side by being 'a hero jumping the sky, enfold(ing) strong excitement and hope.' Salary man may refer to the choice of clothing in the shoot which sees each dad in a sharply dressed suit. The images see the fathers pull energetic poses despite their age with some of the expressions of the older fathers looking slightly pained. Very little else is known about the pictures or why they have come into existence but they are already drumming up plenty of interest online for their curious nature. The 37-year-old's images are said to be part of a book which roughly translates as Daughter and Salaryman . Each image sees the daughter stood po-faced as their father makes an energetic leap . Some of the older fathers adopt a pained expression as they make their jump . Each photograph sees the daughter wearing casual clothing with her father in a sharp suit . The pictures see the families pose in front of various Japanese landmarks . Very little is known about the set of photos but they are already drumming up plenty of interest online . Some of the jumps are more subtle than others with this father opting for a classic jump . This young girl can't help but giggle at her dad's ambitious leap . This dapper dad adds a peace gesture into his final pose . This father can't help but jump for joy in his portrait .","Japanese photographer Yûki Aoyama's latest series, featured in his book ""Daughter and Salary Man,"" captures unique father-daughter portraits. The images depict daughters standing calmly while their fathers, dressed in sharp suits, leap energetically into the air, often with dramatic poses. These photos, taken in front of various Japanese landmarks, aim to show fathers expressing their fun side, contrasting their usual serious demeanor. Despite the lack of detailed background information, the series has garnered significant online interest for its curious and engaging nature.",openai/gpt-4o,0.99399,0.98051,0.98526,1,1.0,1,1,1,0,1,1
"Liverpool manager Brendan Rodgers has reminded Raheem Sterling and Jordon Ibe about their professional responsibilities and urged them to learn from a chastening week. Sterling, the England international who will lead Liverpool’s line at Wembley on Sunday in the absence of the injured Daniel Sturridge, was exposed for inhaling the legal high nitrous oxide on Monday. Then 24 hours later pictures emerged of Sterling and Ibe with shisha pipes. Raheem Sterling (right) was pictured smoking a shisha pipe with team-mate Jordon Ibe earlier this season . Liverpool boss Brendan Rodgers (left) hasn't disciplined Sterling (pictured) or Ibe for the incident . Ibe was present among the Reds squad during their training session on Friday ahead of their FA Cup semi . Rodgers, who has Steven Gerrard available for the FA Cup semi-final with Aston Villa, spoke to Sterling and Ibe in his office on Thursday but neither will be disciplined and Rodgers now wants to draw a line under the matter. He said: ‘It is understanding that when you are a professional, elite sportsperson, there are things you can and cannot be doing and be seen to be doing. ‘It’s not just for your welfare but also because of your responsibilities. ‘It is difficult. Some of these young guys are doing what you would consider to be normal things — and I’m not talking about this instance — (but) how it gets framed is totally different.’ Rodgers would not discuss whether he would give Gerrard, available after a three-match suspension, an immediate recall against Villa, making it clear that his sole priority is steering Liverpool into their first FA Cup final of his reign. They fell short in the title race last season and then faltered in the last four of the Capital One Cup in January, but Rodgers thinks they are ready to progress. Reds have captain Steven Gerrard (centre) back for their FA Cup semi after serving a three-match suspension . ‘When you get so close, whether it was in the title race or the cup, it hurts,’ said Rodgers. ‘Trace back the winners in sport. If you look at everything they have won, also look at what they have lost. You will see that they go close on a number of occasions before they step on. ‘Look at players who have won Champions Leagues and you trace back and see they have also lost Champions League semi-finals and finals. It’s all part of the journey — losing but taking that forward and improving you.’ Rodgers (left) hasn't revealed whether he'll recall Gerrard for Sunday's clash against Aston Villa at Wembley .","Liverpool manager Brendan Rodgers addressed Raheem Sterling and Jordon Ibe about their professional responsibilities after they were seen inhaling nitrous oxide and smoking shisha pipes. Despite the incidents, Rodgers chose not to discipline them and emphasized the importance of understanding their roles as elite sportspeople. He aims to move past the issue and focus on the upcoming FA Cup semi-final against Aston Villa, with Steven Gerrard available after suspension. Rodgers highlighted the importance of learning from past near-misses in competitions to achieve future success.",openai/gpt-4o,0.98683,0.96872,0.98355,1,1.0,1,1,1,1,0,1
"These extraordinary images show how an enormous jumbo jet has been converted into a luxury home for a mystery billionaire - complete with bedrooms, multiple lounges and an onboard restaurant. The custom-built Boeing 747 is believed to have cost its ultra-wealthy owner £400million after it was customised to fit his specifications exactly over a three-year period. The jumbo jet would normally carry as many as 600 passengers - but this version was built for just a single tycoon, although he will be able to fit dozens of guests. It contains a large dining room where travellers can enjoy meals cooked in an adjoining kitchen, with a lounge and 'state room' at the back of the plane. More sleeping space is provided in the 'aeroloft' on the top deck of the vessel, with eight full beds for passengers who prefer to get some shut-eye on flights. Luxury: This is the lounge on board a custom-built Boeing 747-8, as depicted in an artist's impression by Greenpoint Technologies . Shuteye: The master bedroom of the £400million plane has a huge bed as well as an armchair and sofa for when the owner needs to relax . Business: The conference room of the plane could be perfect for meetings in the sky with its long table in the centre . Chill-out: The lounge decor looks like a luxury hotel, belying its true location inside a plane similar to those used by commercial airlines . Executive: This room, which can be used as an office or a guest bedroom, gives a hint to its true location thanks to the porthole-style windows . Kicking back: The main suite could easily be mistaken for a room in a top hotel thanks to its over-the-top decorations . Restaurant: The central portion of the plane hosts a dining room which is attached to a kitchen, allowing the owner to make use of the services of a private chef . Shiny: The jumbo jet is one of the most luxurious private planes ever built, with the price tag believed to have reached a total of £400million . Sofa: Parts of the plane are set aside for guests to relax while watching television, as the vessel can carry several dozen passengers . Plush: Another artist's impression of the main state room, which also contains a desk so the owner can switch between work and relaxation . Welcoming: Images of the lounge show a space very different to the normal aeroplane cabin, with the traditional rows of seats completely discarded in favour of a hotel-like ambience . Exclusive: Few people can ever imagine flying in this sort of luxury - far more glitzy than first class on commercial flights . Plan: The layout of the Boeing 747 is shown in this plan published by Greenpoint Technologies . Gigantic: The luxury interior has been built inside a Boeing 747-8 similar to this one, which can hold up to 600 passengers .","A mystery billionaire has converted a Boeing 747 into a £400 million luxury home, featuring bedrooms, multiple lounges, and an onboard restaurant. The custom-built jet, which took three years to complete, is designed for the owner and dozens of guests, replacing the usual 600-passenger capacity. The plane includes a large dining room, a lounge, a 'state room,' an 'aeroloft' with eight beds, a master bedroom, a conference room, and an office/guest bedroom. The interior resembles a luxury hotel, with high-end decor and amenities, making it one of the most luxurious private planes ever built.",openai/gpt-4o,0.98089,0.86366,0.98354,1,1.0,1,1,1,0,0,1
"Liverpool vice-captain Jordan Henderson thinks his side could catch Manchester City in the Barclays Premier League having fought through a tough and long season at Anfield. Henderson and Liverpool goalkeeper Simon Mignolet both played their 47th game of season in the 2-0 win over Newcastle United on Monday night, equalling the record for appearances by any player in the top five European leagues so far this campaign. But the England midfielder believes that after finding winning form again following poor results against Manchester United and Arsenal, Liverpool can pile the pressure on to City who sit four points above them in the race for the Champions League. Liverpool vice-captain Jordan Henderson thinks his side could catch Manchester City in the  Premier League . Henderson played his 47th game of season in the 2-0 win over Newcastle United on Monday night . Manchester City have been faltering and lost 4-2 at Manchester United, Liverpool are four points behind . 'We knew it was an important game for us,' Henderson said 'Obviously the last couple of weeks in the Premier League have been disappointing both with performances and results. We knew today we needed to put that right and I think we did that with a great result for us. 'We've got ground to make up but we'll just keep going, keep winning in games and putting in performances. Come the end of the season, you never know.' Raheem Sterling pulled off some fine skill to open the scoring in the ninth minute at Anfield before Joe Allen capitalised on a defensive mistake to score his first Anfield goal with 20 minutes to go. Raheem Sterling pulled off some fine skill to open the scoring in the ninth minute at Anfield on Monday night . Joe Allen capitalised on a defensive mistake to score his first Anfield goal to make it 2-0 with 20 minutes to go . 'It was great to get that goal to give us that two-goal cushion,' Allen said. 'It wasn't my best game but I got the goal and helped the team. It was important after the defeats.' Newcastle had what looked a strong shout for a penalty when Dejan Lovren appeared to foul Ayoze Perez in the area, and Allen admitted he thought it was a spot-kick. 'I did get a good view of it as I'd missed the ball in the build-up,' he said. 'It look a good shout for a penalty, but I didn't get one the other night. These things happen.' Liverpool's players congratulate Allen on his goal that secured another vital win in the Premier League battle .","Liverpool vice-captain Jordan Henderson believes his team can catch Manchester City in the Premier League after a challenging season. Henderson and goalkeeper Simon Mignolet played their 47th game of the season in a 2-0 win over Newcastle United, equaling the record for appearances in the top five European leagues. Despite recent poor results against Manchester United and Arsenal, Henderson is optimistic about Liverpool's chances, as they are only four points behind City. Raheem Sterling and Joe Allen scored the goals against Newcastle, with Allen acknowledging a controversial penalty decision. The team is focused on continuing their winning form to pressure City in the race for the Champions League.",openai/gpt-4o,0.99201,0.96763,0.98092,1,1.0,1,1,1,0,0,1
"Damon Albarn . Raised in Leytonstone , East London and around Colchester , Essex , Albarn attended the Stanway School , where he met Graham Coxon and eventually formed Blur , whose debut album Leisure was released in 1991 to mixed reviews . Drawing influences from alternative rock , trip hop , hip hop , electronica , dub , reggae and pop music , the band released their self-titled debut album in 2001 to worldwide success . His debut solo studio album Everyday Robots -- co-produced by XL Recordings CEO Richard Russell -- was released on 28 April 2014 and featured collaborations with Brian Eno , Natasha Khan and the Leytonstone City Pentecostal Mission Church Choir as well as sampling several rants by Lord Buckley .","Damon Albarn, raised in Leytonstone, East London, and Colchester, Essex, attended the Stanway School where he met Graham Coxon and formed Blur. Blur's debut album, Leisure, was released in 1991 to mixed reviews. The band drew influences from various genres and released a self-titled debut album in 2001 to worldwide success. Albarn's debut solo album, Everyday Robots, co-produced by Richard Russell, was released on 28 April 2014 and featured collaborations with Brian Eno, Natasha Khan, and the Leytonstone City Pentecostal Mission Church Choir, as well as samples of rants by Lord Buckley.",openai/gpt-4o,0.995,0.96236,0.99768,1,1.0,1,0,0,1,1,1
Private Lives is a 1930 comedy of manners in three acts by Noël Coward . Private Lives is a 1931 American Pre-Code comedy film directed by Sidney Franklin .,"""Private Lives"" is a 1930 comedy of manners in three acts by Noël Coward. It was adapted into a 1931 American Pre-Code comedy film directed by Sidney Franklin.",openai/gpt-4o,0.9873,0.57486,0.93171,1,1.0,1,1,1,1,0,1
"Starrcade was an annual professional wrestling event , originally broadcast via closed-circuit television and eventually broadcast via pay-per-view television , held from 1983 to 2000 by the National Wrestling Alliance ( NWA ) and later World Championship Wrestling ( WCW ) . From the 1960s to the 1980s , it was tradition for JCP to hold major professional wrestling events on Thanksgiving and Christmas , mostly at Greensboro Coliseum . Starrcade ( 1985 ) was the third annual Starrcade professional wrestling event produced by Jim Crockett Promotions ( JCP ) under the National Wrestling Alliance ( NWA ) banner . Starrcade ( 1987 ) was the fifth annual Starrcade professional wrestling event produced by Jim Crockett Promotions ( JCP ) under the National Wrestling Alliance ( NWA ) banner . Starrcade ( 1997 ) was the fifteenth annual Starrcade professional wrestling pay-per-view ( PPV ) event .","Starrcade was an annual professional wrestling event held from 1983 to 2000, initially broadcast via closed-circuit television and later via pay-per-view. It was organized by the National Wrestling Alliance (NWA) and later by World Championship Wrestling (WCW). Traditionally, major wrestling events by Jim Crockett Promotions (JCP) were held on Thanksgiving and Christmas at Greensboro Coliseum. Specific editions mentioned include Starrcade 1985 (the third annual event), Starrcade 1987 (the fifth annual event), and Starrcade 1997 (the fifteenth annual event).",openai/gpt-4o,0.99214,0.95884,0.99566,1,1.0,1,1,1,1,1,1
Sikkim ( [ ˈsɪkᵻm ] ) is a northeastern state of India .,Sikkim is a northeastern state of India.,openai/gpt-4o,0.99969,0.76062,0.99761,1,1.0,1,1,1,1,1,1
"The Road to El Dorado . The film stars Kevin Kline , Kenneth Branagh , Armand Assante , Jim Cummings , Edward James Olmos , Tobin Bell and Rosie Perez .","The Road to El Dorado is a film featuring the voices of Kevin Kline, Kenneth Branagh, Armand Assante, Jim Cummings, Edward James Olmos, Tobin Bell, and Rosie Perez.",openai/gpt-4o,0.93975,0.87732,0.99324,0,1.0,1,1,1,0,0,1
